                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1103,                 4.2573,                 1.0385,                0.00514,                0.52491,                0.05836,                0.04091,                0.95774,                 4.1736,                0.89211,               8.75e-05,               8.75e-05,               8.75e-05
                      1,                 1.0349,                 3.5839,                0.95653,                0.00623,                0.54106,                0.12768,                0.09631,                0.83576,                 4.0217,                0.85718,             0.00016331,             0.00016331,             0.00016331
                      2,                 1.0232,                  2.508,                0.96532,                      1,                0.02533,                0.23206,                0.17401,                 1.0211,                 3.5895,                0.90036,             0.00022055,             0.00022055,             0.00022055
                      3,                 1.0288,                 1.9804,                0.95566,                0.90142,                0.11843,                0.36566,                0.26964,                0.93431,                 3.2375,                0.88486,             0.00025923,             0.00025923,             0.00025923
                      4,                      1,                 1.7964,                0.93881,                0.84393,                0.22155,                0.47229,                0.36172,                0.93544,                  2.786,                0.89062,             0.00027935,             0.00027935,             0.00027935
                      5,                0.96034,                 1.5718,                0.93272,                0.81393,                0.31325,                0.53135,                0.39595,                0.90978,                 2.4103,                0.89712,             0.00028091,             0.00028091,             0.00028091
                      6,                0.91032,                 1.4097,                0.92451,                0.77867,                0.40792,                 0.5858,                0.44075,                0.86654,                 2.0661,                0.89714,             0.00025375,             0.00025375,             0.00025375
                      7,                0.89775,                 1.3305,                0.94015,                0.73851,                0.53501,                0.65888,                0.49662,                0.88222,                 1.8007,                0.90059,             0.00025375,             0.00025375,             0.00025375
                      8,                0.89837,                 1.3485,                0.94476,                0.76667,                0.63097,                0.68663,                0.51942,                 0.8546,                 1.6438,                0.89518,             0.00019188,             0.00019188,             0.00019188
                      9,                0.88325,                 1.2231,                 0.9235,                0.72554,                0.64783,                0.68614,                0.52116,                0.83671,                 1.4188,                0.89658,                0.00013,                0.00013,                0.00013
