                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3726,                 3.0985,                 1.1985,                0.70945,                 0.4216,                0.43627,                0.26091,                 1.4057,                 1.8116,                 1.1723,                  9e-05,                  9e-05,                  9e-05
                      2,                 1.1658,                 1.3527,                 1.1107,                0.82445,                0.48905,                0.55305,                0.32836,                 1.3712,                 1.3158,                 1.1284,              0.0001789,              0.0001789,              0.0001789
                      3,                 1.1393,                 1.2513,                  1.102,                 0.7446,                0.50387,                0.56108,                0.34896,                 1.3784,                 1.3313,                 1.1635,             0.00026152,             0.00026152,             0.00026152
                      4,                 1.1308,                 1.0985,                 1.1067,                0.72491,                0.54536,                0.62725,                0.39046,                 1.4396,                 1.2909,                  1.235,             0.00033788,             0.00033788,             0.00033788
                      5,                 1.0952,                 1.0385,                 1.0732,                0.50106,                0.70704,                0.58194,                0.32891,                 1.4247,                 1.4749,                  1.258,             0.00040796,             0.00040796,             0.00040796
                      6,                 1.1554,                 1.0311,                 1.1543,                0.68279,                0.54663,                  0.627,                 0.3609,                 1.3975,                  1.259,                 1.2534,              0.0004175,              0.0004175,              0.0004175
                      7,                 1.1181,                0.99799,                 1.1164,                0.67763,                0.59783,                0.63571,                 0.3635,                 1.4338,                 1.1343,                 1.2896,              0.0004175,              0.0004175,              0.0004175
                      8,                 1.1195,                0.92078,                 1.1176,                 0.5596,                 0.6262,                0.61533,                0.37805,                 1.4678,                 1.1938,                 1.2968,               0.000401,               0.000401,               0.000401
                      9,                 1.0673,                 0.8921,                 1.1227,                0.61301,                0.64391,                0.62832,                0.36141,                  1.496,                 1.1074,                 1.3434,              0.0003845,              0.0003845,              0.0003845
                     10,                 1.1298,                0.91047,                 1.1144,                0.81582,                0.56854,                0.67244,                0.39131,                 1.4427,                 1.0663,                 1.3216,               0.000368,               0.000368,               0.000368
                     11,                 1.0926,                0.87625,                 1.1202,                0.61043,                0.74175,                0.70749,                0.42299,                 1.4391,                0.93348,                 1.2599,              0.0003515,              0.0003515,              0.0003515
                     12,                  1.045,                0.84789,                 1.0834,                 0.6888,                0.71984,                 0.7041,                0.43985,                 1.4045,                0.91509,                 1.2194,               0.000335,               0.000335,               0.000335
                     13,                 1.0264,                0.81821,                 1.0792,                0.63507,                0.75156,                0.74337,                0.47069,                 1.3838,                0.95954,                 1.2208,              0.0003185,              0.0003185,              0.0003185
                     14,                 1.0372,                0.79065,                 1.0727,                0.69106,                0.70287,                0.72034,                0.45996,                 1.4198,                0.97527,                 1.2356,               0.000302,               0.000302,               0.000302
                     15,                 1.0217,                0.77287,                 1.0834,                0.66603,                0.76436,                0.76892,                0.46159,                 1.3884,                0.87472,                 1.2275,              0.0002855,              0.0002855,              0.0002855
                     16,                 1.0341,                0.76723,                 1.0757,                 0.6786,                0.75701,                0.77049,                0.47939,                  1.397,                0.90838,                 1.2235,               0.000269,               0.000269,               0.000269
                     17,                 1.0384,                0.75323,                 1.0796,                0.69962,                0.76166,                0.78732,                0.48129,                 1.4103,                0.89555,                 1.2206,              0.0002525,              0.0002525,              0.0002525
                     18,                0.97004,                0.72727,                 1.0446,                0.74838,                0.75301,                0.79077,                0.46745,                 1.3473,                0.82813,                 1.1815,               0.000236,               0.000236,               0.000236
                     19,                 0.9444,                 0.6813,                   1.04,                0.77784,                0.71628,                0.75625,                0.46895,                 1.3508,                0.81258,                   1.17,              0.0002195,              0.0002195,              0.0002195
                     20,                0.98845,                0.67205,                 1.0215,                0.80514,                0.69917,                0.73593,                0.45468,                 1.3459,                0.81386,                 1.1832,               0.000203,               0.000203,               0.000203
                     21,                0.96123,                0.63821,                  1.026,                0.70482,                0.76886,                0.76185,                0.46047,                 1.3714,                0.82459,                 1.1921,              0.0001865,              0.0001865,              0.0001865
                     22,                0.93879,                0.62458,                 1.0342,                0.74533,                0.76274,                0.76805,                0.46231,                 1.3798,                0.87053,                 1.1953,                0.00017,                0.00017,                0.00017
                     23,                0.92338,                0.58996,                 1.0187,                0.71851,                0.78124,                0.75899,                0.46763,                  1.334,                0.81257,                 1.1914,              0.0001535,              0.0001535,              0.0001535
                     24,                0.88924,                0.58198,                 1.0118,                0.70612,                0.78762,                0.74958,                0.46512,                 1.3303,                0.80538,                 1.1936,               0.000137,               0.000137,               0.000137
                     25,                0.89654,                0.56638,                  1.014,                0.73888,                0.76092,                0.74048,                0.46349,                  1.354,                 0.8185,                 1.2031,              0.0001205,              0.0001205,              0.0001205
                     26,                0.85729,                0.54354,                0.99056,                0.69455,                0.74333,                0.73096,                0.44895,                 1.3688,                 0.8366,                 1.2164,               0.000104,               0.000104,               0.000104
                     27,                0.85755,                0.54182,                0.99287,                0.71068,                0.75078,                 0.7338,                0.45572,                 1.3542,                0.82487,                 1.2111,               8.75e-05,               8.75e-05,               8.75e-05
                     28,                0.83492,                0.52477,                0.97432,                0.72508,                 0.7539,                0.73876,                0.45941,                 1.3316,                0.79348,                 1.2064,                7.1e-05,                7.1e-05,                7.1e-05
                     29,                0.82073,                0.52056,                0.97118,                0.73087,                0.74877,                0.74295,                0.46738,                 1.3166,                0.78326,                 1.2003,               5.45e-05,               5.45e-05,               5.45e-05
                     30,                0.82529,                0.51753,                0.95708,                0.73665,                0.74214,                0.75912,                0.48412,                 1.3316,                0.78088,                 1.2015,                3.8e-05,                3.8e-05,                3.8e-05
